Время CPU1 CPU2 IO1 IO2
  0 1 - - -
  1 1 - - -
  2 1 2 - -
  3 1 2 - -
  4 1 2 - -
  5 1 2 - -
  6 3 4 - 1
  7 3 4 - 1
  8 5 4 - 1
  9 5 4 - 1
 10 5 4 - 1
 11 5 4 - 1
 12 5 4 - 1
 13 5 4 - 1
 14 5 4 - 1
 15 5 4 - 1
 16 6 - 4 1
 17 6 - 4 1
 18 6 - 4 1
 19 6 - 4 1
 20 6 - 4 1
 21 6 - 4 1
 22 6 1 4 2
 23 6 1 4 2
 24 6 1 4 2
 25 6 1 4 2
 26 6 1 4 2
 27 6 1 4 2
 28 - - 4 2
 29 - - 4 2
 30 - - 4 2
 31 - - 4 2
 32 - - 4 2
 33 - - 4 2
 34 - - 4 2
 35 - - 4 2
 36 4 - - 2
 37 4 - - 2
 38 4 - - 2
 39 4 - - 2
 40 2 - - 3
 41 2 - - 3
 42 2 - - 3
 43 2 - - 3
 44 2 - - 3
 45 2 - - 3
 46 2 - - 3
 47 2 - - 3
 48 2 - - 3
 49 2 - - 3
 50 - - - 3
 51 - - - 3
 52 3 - - 5
 53 3 - - 5
 54 3 - - 5
 55 3 - - 5
 56 3 - - 5
 57 3 - - 5
 58 - - 3 5
 59 - - 3 5
 60 - - 3 5
 61 - - 3 5
 62 - - 3 5
 63 - - 3 5
 64 - - 3 5
 65 - - 3 5
 66 5 - 3 6
 67 5 - 3 6
 68 5 - 3 6
 69 5 - 3 6
 70 5 - 3 6
 71 5 - 3 6
 72 5 - 3 6
 73 5 - 3 6
 74 3 - - 6
 75 3 - - 6
 76 3 6 - 1
 77 3 6 - 1
 78 - 6 - 1
 79 - 6 - 1
 80 - 6 - 1
 81 - 6 - 1
 82 - 6 - 1
 83 - 6 - 1
 84 - 6 - 1
 85 - 6 - 1
 86 - 6 - 1
 87 - 6 - 1
 88 - 6 - 1
 89 - 6 - 1
 90 - 6 - 1
 91 - 6 - 1
 92 - 6 - 1
 93 - 6 - 1
 94 - 6 - 1
 95 - 6 - 1
 96 1 6 - 4
 97 1 6 - 4
 98 1 6 - 4
 99 1 6 - 4
100 1 6 - 4
101 1 6 - 4
102 1 6 - 4
103 1 6 - 4
104 1 6 - 4
105 1 6 - 4
106 - 6 1 4
107 - 6 1 4
108 4 6 1 2
109 4 6 1 2
110 4 6 1 2
111 4 6 1 2
112 4 6 1 2
113 4 6 1 2
114 4 6 1 2
115 4 6 1 2
116 4 6 1 2
117 4 6 1 2
118 - 6 1 2
119 - 6 1 2
120 - 6 1 2
121 - 6 1 2
122 1 6 4 2
123 1 6 4 2
124 1 2 4 5
125 1 2 4 5
126 1 2 4 5
127 1 2 4 5
128 1 - 4 5
129 1 - 4 5
130 - - 4 5
131 - - 4 5
132 4 - 2 5
133 4 - 2 5
134 4 - 2 5
135 4 - 2 5
136 4 - 2 5
137 4 - 2 5
138 4 - 2 5
139 4 - 2 5
140 - - 2 5
141 - - 2 5
142 - - 2 5
143 - - 2 5
144 5 - 2 3
145 5 - 2 3
146 5 2 - 3
147 5 2 - 3
148 5 2 - 3
149 5 2 - 3
150 5 2 - 3
151 5 2 - 3
152 - 2 5 3
153 - 2 5 3
154 - 2 5 3
155 - 2 5 3
156 3 - 5 6
157 3 - 5 6
158 - - 5 6
159 - - 5 6
160 - - 5 6
161 - - 5 6
162 5 - 2 6
163 5 - 2 6
164 5 - 2 6
165 5 - 2 6
166 5 - 2 6
167 5 - 2 6
168 - - 2 6
169 - - 2 6
170 - - 2 6
171 - - 2 6
172 - - 2 6
173 - - 2 6
174 2 6 3 1
175 2 6 3 1
176 2 6 3 1
177 2 6 3 1
178 2 6 3 1
179 2 6 3 1
180 - 6 3 1
181 - 6 3 1
182 - 6 3 1
183 - 6 3 1
184 - 6 3 1
185 - 6 3 1
186 - - 3 1
187 - - 3 1
188 3 - 2 1
189 3 - 2 1
190 3 - 2 1
191 3 - 2 1
192 3 - 2 1
193 3 - 2 1
194 1 - 2 4
195 1 - 2 4
196 - - 2 4
197 - - 2 4
198 - - 2 4
199 - - 2 4
200 - - 2 4
201 - - 2 4
202 - - 2 4
203 - - 2 4
204 - - 2 4
205 - - 2 4
206 - - 2 4
207 - - 2 4
208 4 - 6 5
209 4 - 6 5
210 4 - 6 5
211 4 - 6 5
212 4 - 6 5
213 4 - 6 5
214 4 - 6 5
215 4 - 6 5
216 4 - 6 5
217 4 - 6 5
218 - - 6 5
219 - - 6 5
220 - - 6 5
221 - - 6 5
222 - - 6 5
223 - - 6 5
224 - - 6 5
225 - - 6 5
226 6 - 3 5
227 6 - 3 5
228 6 5 3 -
229 6 5 3 -
230 6 5 3 -
231 6 5 3 -
232 6 5 3 -
233 6 5 3 -
234 6 5 3 -
235 6 5 3 -
236 6 - 3 5
237 6 - 3 5
238 6 - 1 5
239 6 - 1 5
240 6 - 1 5
241 6 - 1 5
242 6 - 1 5
243 6 - 1 5
244 6 - 1 5
245 6 - 1 5
246 6 - 1 5
247 6 - 1 5
248 6 - 1 5
249 6 - 1 5
250 1 - 4 5
251 1 - 4 5
252 1 - 4 5
253 1 - 4 5
254 5 - 4 -
255 5 - 4 -
256 - - 4 5
257 - - 4 5
258 - - 4 5
259 - - 4 5
260 - - 4 5
261 - - 4 5
262 - - 4 5
263 - - 4 5
264 - - 4 5
265 - - 4 5
266 - - 4 5
267 - - 4 5
268 - - 6 5
269 - - 6 5
270 - - 6 5
271 - - 6 5
272 - - 6 5
273 - - 6 5
274 - - 6 5
275 - - 6 5
276 - - 6 -
277 - - 6 -
278 - - 6 -
279 - - 6 -
280 - - 6 -
281 - - 6 -
282 6 - 1 -
283 6 - 1 -
284 6 - 1 -
285 6 - 1 -
286 6 - 1 -
287 6 - 1 -
288 6 - 1 -
289 6 - 1 -
290 6 - 1 -
291 6 - 1 -
292 6 - 1 -
293 6 - 1 -
294 6 - 1 -
295 6 - 1 -
296 6 - 1 -
297 6 - 1 -
298 6 - 1 -
299 6 - 1 -
300 6 - - -
301 6 - - -
302 6 - - -
303 6 - - -
304 6 - - -
305 6 - - -
306 6 - - -
307 6 - - -
308 6 - - -
309 6 - - -
310 6 - - -
311 6 - - -
312 6 - - -
313 6 - - -
314 6 - - -
315 6 - - -
316 6 - - -
317 6 - - -
318 6 - - -
319 6 - - -
320 6 - - -
321 6 - - -
322 6 - - -
323 6 - - -
324 6 - - -
325 6 - - -
326 6 - - -
327 6 - - -
328 6 - - -
329 6 - - -
330 - - 6 -
